GEO Id,GEO.display-label,Target Geo Id,GCT_STUB.display-label,HC05,HC06,HC07,HC08,HC10,HC11,HC12,HC13
State Id,Geography,District Id,Geographical Area,Percent of total population - Race - One race - White,Percent of total population - Race - One race - Black or African American,Percent of total population - Race - One race - American Indian and Alaska Native,Percent of total population - Race - One race - Asian,Percent of total population - Race - One race - Some other race,Percent of total population - Race - Two or more races,Percent of total population - Hispanic or Latino (of any race),"Percent of total population - White alone, not Hispanic or Latino"
0400000US39,Ohio,5000600US3901,Ohio - Congressional District 1 (106th Congress),62.5,34,0.2,1.3,0.5,1.5,1.1,62.1
0400000US39,Ohio,5000600US3902,Ohio - Congressional District 2 (106th Congress),94.5,2.6,0.2,1.4,0.3,0.9,1,93.8
0400000US39,Ohio,5000600US3903,Ohio - Congressional District 3 (106th Congress),76.4,20,0.2,1.3,0.5,1.5,1.3,75.7
0400000US39,Ohio,5000600US3904,Ohio - Congressional District 4 (106th Congress),92.5,5.2,0.2,0.5,0.5,1.1,1.2,91.8
0400000US39,Ohio,5000600US3905,Ohio - Congressional District 5 (106th Congress),94.3,2.3,0.2,0.4,1.6,1.2,3.7,92.6
0400000US39,Ohio,5000600US3906,Ohio - Congressional District 6 (106th Congress),95.6,2.2,0.3,0.6,0.2,1.1,0.7,95.1
0400000US39,Ohio,5000600US3907,Ohio - Congressional District 7 (106th Congress),92,5.2,0.3,0.9,0.4,1.3,1,91.4
0400000US39,Ohio,5000600US3908,Ohio - Congressional District 8 (106th Congress),94,3.3,0.2,1.1,0.5,1,1.1,93.4
0400000US39,Ohio,5000600US3909,Ohio - Congressional District 9 (106th Congress),81,13.8,0.3,1.1,1.8,2,4.5,79
0400000US39,Ohio,5000600US3910,Ohio - Congressional District 10 (106th Congress),87.8,5.1,0.2,1.8,2.9,2.1,6.3,85.2
0400000US39,Ohio,5000600US3911,Ohio - Congressional District 11 (106th Congress),31.7,64.5,0.2,1.4,0.6,1.6,1.5,31.1
0400000US39,Ohio,5000600US3912,Ohio - Congressional District 12 (106th Congress),71.8,22.8,0.3,2.2,0.8,2.2,1.8,71
0400000US39,Ohio,5000600US3913,Ohio - Congressional District 13 (106th Congress),91.6,4.7,0.2,0.7,1.4,1.4,3.4,89.9
0400000US39,Ohio,5000600US3914,Ohio - Congressional District 14 (106th Congress),84.5,12.3,0.2,1.3,0.3,1.4,0.9,84
0400000US39,Ohio,5000600US3915,Ohio - Congressional District 15 (106th Congress),85.9,7.7,0.3,3.2,1,1.8,2.3,84.8
0400000US39,Ohio,5000600US3916,Ohio - Congressional District 16 (106th Congress),92.9,4.9,0.2,0.5,0.3,1.2,0.9,92.3
0400000US39,Ohio,5000600US3917,Ohio - Congressional District 17 (106th Congress),86.8,10.8,0.2,0.4,0.6,1.2,1.9,85.8
0400000US39,Ohio,5000600US3918,Ohio - Congressional District 18 (106th Congress),95.7,2.6,0.2,0.3,0.2,1,0.6,95.3
0400000US39,Ohio,5000600US3919,Ohio - Congressional District 19 (106th Congress),93.8,2.9,0.1,1.6,0.5,1,1.5,92.9
