Geographic Area,Asian_Percent,Black_Percent,Other_Percent,Two_More_Percent,White_Percent
Ohio - Congressional District 1 (113th Congress),2.6,21.9,0.9,2,72.5
Ohio - Congressional District 2 (113th Congress),1.2,8.4,0.4,1.9,88.1
Ohio - Congressional District 3 (113th Congress),3,32.4,2.4,3.5,58.9
Ohio - Congressional District 4 (113th Congress),0.7,5.2,0.9,2.3,91
Ohio - Congressional District 5 (113th Congress),1.2,2.9,1.4,1.6,93.2
Ohio - Congressional District 6 (113th Congress),0.4,2.3,0.4,1.5,95.5
Ohio - Congressional District 7 (113th Congress),0.5,3.8,0.7,1.7,93.2
Ohio - Congressional District 8 (113th Congress),1.6,5.9,1.1,1.9,89.5
Ohio - Congressional District 9 (113th Congress),1.4,16,2.7,3.4,76.4
Ohio - Congressional District 10 (113th Congress),2.1,17.2,0.8,2.3,77.5
Ohio - Congressional District 11 (113th Congress),2.2,53.7,1,2.2,40.5
Ohio - Congressional District 12 (113th Congress),3.1,4.5,0.6,2.3,89.4
Ohio - Congressional District 13 (113th Congress),1.1,11.4,0.7,2.2,84.3
Ohio - Congressional District 14 (113th Congress),1.9,4,0.5,1.5,92.4
Ohio - Congressional District 15 (113th Congress),2.2,3.5,0.6,2,91.5
Ohio - Congressional District 16 (113th Congress),2.1,2,0.6,1.3,94.3
