Region,High_School,Bachelors
"Congressional District 1 (109th Congress), Ohio",88.5,7.6
"Congressional District 2 (109th Congress), Ohio",90.3,11.3
"Congressional District 3 (109th Congress), Ohio",90.9,10.7
"Congressional District 4 (109th Congress), Ohio",88.6,5.8
"Congressional District 5 (109th Congress), Ohio",89.5,7.8
"Congressional District 6 (109th Congress), Ohio",87.7,7.3
"Congressional District 7 (109th Congress), Ohio",91.2,6.3
"Congressional District 8 (109th Congress), Ohio",88,6.3
"Congressional District 9 (109th Congress), Ohio",90.5,10.8
"Congressional District 10 (109th Congress), Ohio",90.6,10
"Congressional District 11 (109th Congress), Ohio",87,11.8
"Congressional District 12 (109th Congress), Ohio",91.2,13
"Congressional District 13 (109th Congress), Ohio",92.8,9.6
"Congressional District 14 (109th Congress), Ohio",88.9,10.3
"Congressional District 15 (109th Congress), Ohio",90.4,15.3
"Congressional District 16 (109th Congress), Ohio",92.1,7.5
"Congressional District 17 (109th Congress), Ohio",90.7,7.3
"Congressional District 18 (109th Congress), Ohio",82.5,3.7
