Geography,White ,African American ,Asian ,Some other race,Two or more
"Congressional District 1 (109th Congress), Ohio",67.3,28.4,1.6,0.9,1.8
"Congressional District 2 (109th Congress), Ohio",91.7,4.9,1.7,0.5,1.2
"Congressional District 3 (109th Congress), Ohio",80,16.5,1.6,0.7,1.2
"Congressional District 4 (109th Congress), Ohio",92.9,3.6,0.5,1.3,1.7
"Congressional District 5 (109th Congress), Ohio",95.5,1,0.5,1.8,1.2
"Congressional District 6 (109th Congress), Ohio",96,1.7,0.7,0.5,1.1
"Congressional District 7 (109th Congress), Ohio",88.4,7.7,1.1,0.7,2.1
"Congressional District 8 (109th Congress), Ohio",91.1,5,1.5,1,1.4
"Congressional District 9 (109th Congress), Ohio",80.3,14,1.1,2.5,2.1
"Congressional District 10 (109th Congress), Ohio",85.8,7.8,1.7,3.1,1.6
"Congressional District 11 (109th Congress), Ohio",36.7,58.6,2.3,1.2,1.2
"Congressional District 12 (109th Congress), Ohio",72.1,21.6,3.3,1.2,1.8
"Congressional District 13 (109th Congress), Ohio",82.8,11.9,1.6,2,1.7
"Congressional District 14 (109th Congress), Ohio",93.3,3.3,1.3,0.9,1.2
"Congressional District 15 (109th Congress), Ohio",83.9,8.8,3.7,1.7,1.9
"Congressional District 16 (109th Congress), Ohio",92.7,4.6,0.5,0.7,1.5
"Congressional District 17 (109th Congress), Ohio",85.7,11.5,1,0.7,1.1
"Congressional District 18 (109th Congress), Ohio",96.5,1.7,0.3,0.5,1
